salary_grade,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
1,11551,11647,11745,11843,11942,12042,12143,12244
2,12267,12369,12464,12560,12657,12754,12852,12950
3,13019,13119,13220,13322,13424,13527,13631,13736
4,13807,13914,14020,14128,14236,14345,14456,14567
5,14641,14754,14867,14981,15096,15212,15329,15446
6,15524,15643,15763,15884,16007,16129,16253,16378
7,16458,16585,16713,16841,16970,17101,17231,17364
8,17505,17663,17823,17984,18146,18310,18476,18643
9,18763,18920,19078,19238,19399,19561,19725,19890
10,20219,20388,20558,20731,20903,21079,21254,21432
11,22316,22600,22889,23181,23477,23778,24082,24391
12,24495,24779,25067,25358,25653,25952,26254,26560
13,26754,27067,27383,27703,28028,28356,28688,29025
14,29277,29621,29969,30322,30678,31039,31405,31775
15,32053,32431,32814,33202,33594,33991,34393,34801
16,35106,35522,35943,36369,36801,37238,37681,38128
17,38464,38922,39385,39854,40329,40810,41296,41789
18,42159,42662,43172,43687,44210,44739,45274,45816
19,46791,47530,48281,49044,49820,50608,51410,52224
20,52703,53537,54386,55248,56125,57016,57921,58841
21,59353,60296,61255,62229,63220,64226,65249,66289
22,66867,67933,69017,70118,71237,72375,73531,74705
23,75359,76563,77788,79034,80324,81635,82967,84321
24,85074,86462,87874,89308,90766,92248,93753,95283
25,96985,98568,100176,101811,103473,105162,106879,108623
26,109593,111381,113200,115047,116925,118833,120772,122744
27,123839,125861,127915,130003,132125,134281,136473,138701
28,139939,142223,144544,146903,149300,151738,154215,156731
29,158131,160712,163335,166001,168710,171464,174262,177107
30,178688,181604,184568,187581,190642,193754,196916,200130
31,262965,268101,273338,278676,284120,289669,295327,301095
32,313512,319835,326285,332865,339577,346426,353413,360539
33,395858,407734,,,,,,
