Position,Salary Grade,Type,W/Tax
Presidential Adviser,31,1,76750.3
Presidential Assistant I/USEC,30,1,47286.68
Senior Undersecretary,30,1,47286.68
Executive Director IV/ASEC,29,1,39833.06
Director IV,28,1,33381.6
Director III,27,1,28510.65
Head Executive Assistant / COS,27,1,
Director I,25,1,20189.8
Attorney V,25,1,20189.8
Peace Program Officer V,24,1,16469.8
Chief Administrative Officer,24,1,
Attorney IV,23,1,
Peace Program Officer IV,22,1,10847.53
Supervising Administrative Officer,22,1,10847.53
Attorney III,21,1,8666.18
Executive Assistant III,20,1,7171.91
Accountant III,19,1,5777.87
Information Systems Analyst,19,1,5777.87
Peace Program Officer III,18,1,4718.04
Computer Programmer III,18,1,
Administrative Officer V,18,1,
Executive Assistant II,17,1,
Information Officer II,15,1,
Peace Program Officer II,15,1,
Senior Administrative Assistant III,15,1,
Administrative Officer IV,15,1,
Administrative Officer III,14,1,
Administrative Assistant VI,12,1,
Legal Asst. II,12,1,
Peace Program Officer I,11,1,
Administrative Officer II,11,1,
Administrative Officer I,10,1,
Administrative Assistant IV,10,1,
Administrative Assistant III,9,1,
Administrative Assistant II,8,1,
Administrative Aide VI,6,1,
Administrative Aide IV,4,1,
Administrative Aide II,2,1,
Program Manager II,26,2,
Program Manager I,25,2,
Project Devt. Officer V,24,2,
Project Devt. Officer IV,22,2,
Executive Assistant III,20,2,
Project Devt. Officer III,18,2,
Private Secretary III,18,2,
Legal Researcher,18,2,
Administrative Officer V,18,2,
Private Secretary II,15,2,
Project Devt. Officer II,15,2,
Administrative Officer IV,15,2,
Admin. Officer III,14,2,
Admin Asst. VI,12,2,
Admin. Officer II,11,2,
Admin. Asst. V,11,2,
Project Devt. Officer I,11,2,
Confidential Asst. III,11,2,
Confidential Asst. II,10,2,
Admin. Assistant IV,10,2,
Admin. Officer I,10,2,
Admin Asst III,9,2,
Confidential Asst. I,8,2,
Admin. Assistant II,8,2,
Chauffeur IV,8,2,
Electrical Inspector II,8,2,
Admin Asst I,6,2,
Utility Foreman,6,2,
Admin Aide VI,6,2,
Driver II,4,2,
House Keeper,4,2,
Admin Aide IV,3,2,
Utility Worker,3,2,
Carpentry/Plumber,3,2,
Utility/Messenger,3,2,
MILF Security,2,2,
